freq,variable,standard_name,long_name,units,cell_methods,
1hr,uas,eastward_wind,Eastward Near-Surface Wind,m s-1,time: point (interval: 1H) area: interpolation (method: bilinear),
1hr,zmla,atmosphere_boundary_layer_thickness,Height of Boundary Layer,m,time: point (interval: 1H),
1hr,rsdt,toa_incoming_shortwave_flux,TOA Incident Shortwave Radiation,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1H),
1hr,rsuscs,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Upwelling Clear-Sky Shortwave Radiation,W m-2, ,
1hr,ua200m,eastward_wind,Eastward Wind at 200m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H),
1hr,hurs,relative_humidity,Near-Surface Relative Humidity,%,time: point (interval: 1H),
1hr,vas,northward_wind,Northward Near-Surface Wind,m s-1,time: point (interval: 1H) area: interpolation (method: bilinear),
1hr,evspsblpot,water_potential_evaporation_flux,Potential Evapotranspiration,kg m-2 s-1,time: mean (interval: 1 hour),
1hr,ua150m,eastward_wind,Eastward Wind at 150m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H),
1hr,ua250m,eastward_wind,Eastward Wind at 250m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H),
1hr,wsgsmax,wind_speed_of_gust ,Hourly Maximum Near-Surface Wind Speed of Gust,m s-1,time: maximum (interval: 1 hour) area: interpolation (method: bilinear) time: maximum (interval: 1H),
1hr,rsdsdir,surface_direct_downwelling_shortwave_flux_in_air,Surface Direct Downwelling Shortwave Radiation,W m-2,time: mean (interval: 1H),
1hr,huss,specific_humidity,Near-Surface Specific Humidity,1,time: point (interval: 1H),
1hr,rluscs,surface_upwelling_longwave_flux_in_air_assuming_clear_sky,Surface Upwelling Clear-Sky Longwave Radiation,W m-2, ,
1hr,hfss,surface_upward_sensible_heat_flux,Surface Upward Sensible Heat Flux,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1H),
1hr,vasmean,northward_wind,Northward Near-Surface Wind,m s-1,area: interpolation (method: bilinear) time: mean (interval: 1H),
1hr,sfcWind,wind_speed,Near-Surface Wind Speed,m s-1,time: point (interval: 1H) area: interpolation (method: bilinear),
1hr,mrfsos,frozen_water_content_of_soil_layer,Frozen Water Content in Upper Portion of Soil Column,kg m-2,time: point (interval: 1H),
1hr,ua1500m,northward_wind,Eastward Wind at 1500m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H),
1hr,tas,air_temperature,Near-Surface Air Temperature,K,time: point (interval: 1H),
1hr,hfls,surface_upward_latent_heat_flux,Surface Upward Latent Heat Flux,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1H),
1hr,ta1500m,air_temperature,Air Temperature at 1500m,K,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H),
1hr,va200m,northward_wind,Northward Wind at 200m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H),
1hr,rsut,toa_outgoing_shortwave_flux,TOA Outgoing Shortwave Radiation,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1H),
1hr,tasmean,air_temperature,Hourly Mean Near-Surface Air Temperature,K,time: mean (interval: 1H),
1hr,clh,cloud_area_fraction_in_atmosphere_layer,High Level Cloud Fraction,%,time: mean (interval: 1 hour),
1hr,cll,cloud_area_fraction_in_atmosphere_layer,Low Level Cloud Fraction,%,time: mean (interval: 1 hour),
1hr,tasmax,air_temperature,Hourly Maximum Near-Surface Air Temperature,K,time: maximum (interval: 1 hour),
1hr,vasmax,northward_wind,Northward Near-Surface Wind,m s-1,area: interpolation (method: bilinear) time: maximum (interval: 1H),
1hr,rsutcs,toa_outgoing_shortwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Shortwave Radiation,W m-2,time: mean (interval: 1 hour),
1hr,ta100m,air_temperature,Air Temperature at 100m,K,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H),
1hr,va100m,northward_wind,Northward Wind at 100m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H),
1hr,rldscs,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,Surface Downwelling Clear-Sky Longwave Radiation,W m-2,,
1hr,rlds,surface_downwelling_longwave_flux_in_air,Surface Downwelling Longwave Radiation,W m-2,time: mean (interval: 1 hour),
1hr,va1500m,northward_wind,Northward Wind at 1500m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H),
1hr,psl,air_pressure_at_mean_sea_level,Sea Level Pressure,Pa,time: point (interval: 1H),
1hr,rsds,surface_downwelling_shortwave_flux_in_air,Surface Downwelling Shortwave Radiation,W m-2,time: mean (interval: 1 hour),
1hr,rsus,surface_upwelling_shortwave_flux_in_air,Surface Upwelling Shortwave Radiation,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1H),
1hr,rlut,toa_outgoing_longwave_flux,TOA Outgoing Longwave Radiation,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1H),
1hr,rlus,surface_upwelling_longwave_flux_in_air,Surface Upwelling Longwave Radiation,W m-2,time: mean (interval: 1 hour) time: mean (interval: 1H),
1hr,va50m,northward_wind,Northward Wind at 50m,m s-1,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H),
1hr,evspsbl,water_evapotranspiration_flux,Evaporation Including Sublimation and Transpiration,kg m-2 s-1,time: mean (interval: 1 hour),
1hr,ts,surface_temperature,Surface Temperature,K,time: point (interval: 1H),
1hr,prw,atmosphere_mass_content_of_water_vapor,Water Vapor Path,kg m-2,time: point (interval: 1H),
1hr,ta150m,air_temperature,Air Temperature at 150m,K,model_level_number: point area: interpolation (method: bilinear) height: interpolation(method: log) time: point (interval: 1H),
1hr,pr,precipitation_flux,Precipitation,kg m-2 s-1,time: mean (interval: 1 hour),
1hr,clwvi,atmosphere_mass_content_of_cloud_condensed_water,Condensed Water Path,kg m-2,time: point (interval: 1H),
1hr,ps,surface_air_pressure,Surface Air Pressure,Pa,time: point (interval: 1H),
1hr,uasmean,eastward_wind,Eastward Near-Surface Wind,m s-1,area: interpolation (method: bilinear) time: mean (interval: 1H),
1hr,CAPE,atmosphere_convective_available_potential_energy_wrt_surface,Convective Available Potential Energy,J kg-1, ,
1hr,uasmax,eastward_wind,Eastward Near-Surface Wind,m s-1,area: interpolation (method: bilinear) time: maximum (interval: 1H),
1hr,tasmin,air_temperature,Hourly Minimum Near-Surface Air Temperature,K,time: minimum (interval: 1 hour),
1hr,rsdscs,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky,Surface Downwelling Clear-Sky Shortwave Radiation,W m-2, ,
1hr,prc,convective_precipitation_flux,Convective Precipitation,kg m-2 s-1,time: mean (interval: 1 hour),
